stop_id,route_id,n_departures,avg_headway
200417007,265,12,10.0
200417007,269,8,15.0
200417007,276,9,13.333333333333334
200417008,1946,15,8.0
200417008,366,4,30.0
200417012,1968,12,10.0
200417012,259,12,10.0
200417012,263,8,15.0
200417012,2977,1,120.0
200417012,366,4,30.0
200417013,269,9,13.333333333333334
200417013,366,4,30.0
200417014,2466,67,1.791044776119403
200417015,1946,14,8.571428571428571
200417015,259,12,10.0
200417015,263,7,17.142857142857142
200417015,269,8,15.0
200417015,2983,1,120.0
200417015,366,4,30.0
200417016,263,8,15.0
200417016,265,12,10.0
200417016,269,8,15.0
200417016,276,9,13.333333333333334
200417016,2977,1,120.0
200417016,2982,1,120.0
200417016,366,4,30.0
200417016,4026,1,120.0
200417018,1968,12,10.0
200417018,2601,8,15.0
200417019,1968,12,10.0
200417019,263,8,15.0
200417019,265,12,10.0
200417019,269,8,15.0
200417019,276,8,15.0
200417019,2977,1,120.0
200417019,366,4,30.0
200417020,1946,14,8.571428571428571
200417020,259,12,10.0
200417020,2977,1,120.0
200417020,2983,1,120.0
200417020,366,4,30.0
200417021,259,12,10.0
200417021,2601,8,15.0
200417022,265,12,10.0
200417022,276,8,15.0
200417022,2977,1,120.0
200417023,265,12,10.0
200417023,269,8,15.0
200417024,259,12,10.0
200417024,2977,1,120.0
200417024,2983,1,120.0
200417025,265,12,10.0
200417025,276,8,15.0
200417025,2977,1,120.0
200417026,259,12,10.0
200417026,2977,1,120.0
200417026,2983,1,120.0
200417029,2466,66,1.8181818181818181
200417030,1968,12,10.0
200417030,2601,8,15.0
200417030,2982,1,120.0
200417030,366,4,30.0
200417030,4026,1,120.0
200417031,2466,67,1.791044776119403
200417032,1946,14,8.571428571428571
200417032,259,12,10.0
200417032,2983,1,120.0
200417033,265,12,10.0
200417033,2977,1,120.0
200417033,366,4,30.0
200417034,1946,14,8.571428571428571
200417034,259,12,10.0
200417036,1968,12,10.0
200417036,269,8,15.0
200417036,366,4,30.0
200417037,1968,12,10.0
200417037,2601,8,15.0
200417038,1968,12,10.0
200417038,2601,8,15.0
200417039,1968,12,10.0
200417039,263,8,15.0
200417039,265,12,10.0
200417039,276,8,15.0
200417039,2977,1,120.0
200417040,269,8,15.0
200417045,2466,66,1.8181818181818181
200417046,2466,67,1.791044776119403
200417047,259,13,9.23076923076923
200417047,2601,8,15.0
200417047,263,7,17.142857142857142
200417047,265,12,10.0
200417047,269,8,15.0
200417047,276,9,13.333333333333334
200417049,259,12,10.0
200417049,2601,8,15.0
200417050,276,9,13.333333333333334
200417050,366,4,30.0
200417052,2466,66,1.8181818181818181
200417053,2982,1,120.0
200417053,2983,1,120.0
200417053,2984,1,120.0
200417053,2985,1,120.0
200417053,4026,1,120.0
200417058,2466,67,1.791044776119403
200417060,265,12,10.0
200417060,276,8,15.0
200417060,2977,1,120.0
200417061,259,12,10.0
200417061,2601,8,15.0
200417066,2466,67,1.791044776119403
200418001,1947,7,17.142857142857142
200418001,265,12,10.0
200418001,268,12,10.0
200419001,273,8,15.0
200419001,274,8,15.0
200419001,2976,1,120.0
200419001,2981,1,120.0
200419001,3646,8,15.0
200419002,267,24,5.0
200419002,2985,1,120.0
200419002,2988,1,120.0
200419002,2989,1,120.0
200419002,2990,1,120.0
200419002,3012,1,120.0
200419007,267,24,5.0
200419008,1968,12,10.0
200419008,278,12,10.0
200419008,2976,1,120.0
200419011,2976,1,120.0
200419013,1968,12,10.0
200419013,257,16,7.5
200419013,258,16,7.5
200419013,2601,9,13.333333333333334
200419014,1968,12,10.0
200419014,278,12,10.0
200419014,2976,1,120.0
200419014,2985,1,120.0
200419015,267,12,10.0
200419018,2976,1,120.0
200419019,1968,12,10.0
200419019,278,12,10.0
200419019,2976,1,120.0
200419019,2985,1,120.0
200419020,1968,12,10.0
200419020,278,12,10.0
200419020,2976,1,120.0
200419020,2985,1,120.0
200419021,2988,1,120.0
200419021,2989,1,120.0
200419021,2990,1,120.0
200419021,3012,1,120.0
200419022,1968,12,10.0
200419022,267,24,5.0
200419022,278,12,10.0
200419025,267,24,5.0
200419025,2985,1,120.0
200419025,2988,1,120.0
200419025,2989,1,120.0
200419025,2990,1,120.0
200419025,3012,1,120.0
